"Source Url","Headlines","Description"
"https://www.britishecologicalsociety.org/news-and-opinion/","Shooters urged to take 'cautious approach' when shooting woodcock","To reduce the effects of cold weather on Eurasian woodcock, shooting should be restricted before energy reserves are depleted"
"https://www.britishecologicalsociety.org/news-and-opinion/","How barbastelle bats trick moths that are able to hear their echolocation calls","Researchers have found that the rare European barbastelle bats sneak up on unsuspecting moths by gradually emitting ever fainter calls as they come closer."
"https://www.britishecologicalsociety.org/news-and-opinion/","Annual Meeting 2018: Thematic Sessions, Interactive Oral Sessions & Workshops","We are currently accepting proposals for Thematic Sessions, Interactive Oral Sessions, and Workshops for our 2018 Annual Meeting."
"https://www.britishecologicalsociety.org/news-and-opinion/","Lack of water is key stressor for urban trees","Urban trees can survive increased heat and insect pests fairly well – unless they are thirsty."
"https://www.britishecologicalsociety.org/news-and-opinion/","The Changing Arctic: An Environmental Audit Committee inquiry","Help the BES respond to the Environmental Audit Committee inquiry into how the Arctic is changing and what it means for the UK."
"https://www.britishecologicalsociety.org/news-and-opinion/","Reflections on BES Policy Internship","Account of Adele Julier's experience as a BES Policy Intern."
"https://www.britishecologicalsociety.org/news-and-opinion/","Health and Harmony: the future for food, farming and the environment in a Green Brexit Consultation","Help the BES respond to the Defra consultation on “Health and Harmony: the future for food;farming and the environment in a Green Brexit""."
"https://www.britishecologicalsociety.org/news-and-opinion/","Policy in the European Parliament","Sofia Cota-Franco's account of shadowing Julie Girling MEP in Brussels"
"https://www.britishecologicalsociety.org/news-and-opinion/","Social status influences infection risk and and disease-induced mortality","In this long-term study, ecologists monitored the health status of spotted hyena and the risk of infection with canine distemper virus."
"https://www.britishecologicalsociety.org/news-and-opinion/","Managing UK fisheries POSTnote","Katherine Maltby's account of her 3 month BES POST fellowship on UK fisheries management"
"https://www.britishecologicalsociety.org/news-and-opinion/","Uncoordinated trade policies aid alien bee invasions","Patagonia may lose its only native bumblebee species due to invasions by alien bee species sanctioned by government policy."
"https://www.britishecologicalsociety.org/news-and-opinion/","Undergraduate Ecological Careers Conference","The recent Undergraduate Ecological Careers Conference took place on 12th February. Jade Hemsley, undergraduate student organiser from the University of Reading gives an overview of the day."
"https://www.britishecologicalsociety.org/news-and-opinion/","Finding the Common Ground","Read the BES Agricultural Ecology Special Interest Group's report on finding the common ground for a future agriculture policy."
"https://www.britishecologicalsociety.org/news-and-opinion/","A big picture for the big island","A recent study published in the Journal of Applied Ecology provides a range of options to protect and restore Hawaii's valuable marine ecosystems for the future."
"https://www.britishecologicalsociety.org/news-and-opinion/","Special Feature on animal host–microbe interactions","Journal of Animal Ecology published a Special Feature with 18 research articles investigating the ecology of host–microbe interactions."
