"Source Url","Headline","Description"
"https://www.ecologistasenaccion.org/","Miles de personas exigen la protección del lobo","Por tercer año consecutivo, las organizaciones Lobo Marley, Equo, Ecologistas en Acción, WWF y la Alianza Europea para la Conservación del Lobo, con el apoyo de 200 entidades ecologistas y animalistas de todo el Estado español, han celebrado una gran manifestación en defensa del lobo ibérico."
"https://www.ecologistasenaccion.org/","Las zonas de bajas emisiones permiten la entrada a vehículos diésel muy contaminantes","El 90 % de los vehículos diésel catalogados con la pegatina C de la DGT, y que podrían entrar en zonas de bajas emisiones (ZBE), tienen emisiones contaminantes hasta 10 veces por encima de lo permitido."
"https://www.ecologistasenaccion.org/","Contra la Ley Mordaza","Ecologistas en Acción insta a que se derogue esta ley que vulnera el libre ejercicio de los derechos humanos, y se suma a la convocatoria de protesta ciudadana el 17 de marzo."
"https://www.ecologistasenaccion.org/","Se crea la plataforma Valle del Tajuña, Parque Regional","“Valle del Tajuña, Parque Regional” es el nombre de la coordinadora de entidades que trabajará por la protección de esta comarca madrileña."
"https://www.ecologistasenaccion.org/","Termina la 5ª Conferencia Internacional sobre Vencejos","Ecologistas en Acción asiste a la 5º Conferencia Internacional sobre Vencejos en Tel Aviv y presenta una experiencia de recuperación de una colonia de cría de vencejo común (Apus apus) en la localidad de Benicarló (Castellón)."
"https://www.ecologistasenaccion.org/","Se niegan a declarar en el juzgado los cuatro implicados en la trama para implicar a Juan Clavero en el tráfico de drogas","Las cuatro personas imputadas por la trama que pretendió implicar al activista de Ecologistas en Acción Juan Clavero se han negado a declarar."
"https://www.ecologistasenaccion.org/","Meseta Ski: era un monte quemado y todos lo sabían","Ecologistas en Acción propone que los 125 procuradores, diputados y concejales que aprobaron el proyecto sufraguen con cargo a su patrimonio los 15 millones de euros públicos despilfarrados."
"https://www.ecologistasenaccion.org/","La movilidad asociada a la Operación Chamartín colapsaría las vías de acceso a Madrid y desbordaría el transporte público","Un informe de Ecologistas en Acción y el Instituto para la Democracia y el Municipalismo estima en más de medio millón el incremento de viajes asociados a la nueva propuesta de la Operación Chamartín o Madrid Nuevo Norte."
"https://www.ecologistasenaccion.org/","Recurs d’Alçada contra DIC per a campament de turisme a Oriola","S’atorga una declaració interés comunitari (DIC) per a un càmping en un espai de la Xarxa Natura 2000 sense una avaluació ambiental prèvia."
"https://www.ecologistasenaccion.org/","Les zones de baixes emissions permeten l’entrada de vehicles dièsel molt contaminants","El 90 % dels vehicles dièsel catalogats amb l’adhesiu C de la DGT, que podrien entrar en zones restringides a vehicles contaminants, emeten contaminants fins a 10 vegades per sobre del permès."
"https://www.ecologistasenaccion.org/","Proposta de gestió pública del tramvia","Entitats ciutadanes, entre les quals es troba a Ecologistes en Acció, fan una proposta de gestió pública del tramvia als partits per aconseguir l’acord de la connexió per la Diagonal."
"https://www.ecologistasenaccion.org/","[Informe] Mejor sin diésel","Medidas fiscales para mejorar la calidad del aire."
"https://www.ecologistasenaccion.org/","[Informe] Ríos hormonados","Los plaguicidas están diseñados para actuar como tóxicos contra los organismos a los que pretenden combatir, pero también pueden dañar a otros seres vivos."
"https://www.ecologistasenaccion.org/","[Informe] El IBEX 35 en guerra contra la vida","El IBEX 35 en guerra contra la vida. Transnacionales españolas y conflictos socioecológicos en América Latina. Un análisis ecofeminista."
"https://www.ecologistasenaccion.org/","[Informe] Incidentes de la nuclear de Cofrentes","Falta de rigor del Consejo de Seguridad Nuclear (CSN) y falta de cultura de seguridad de Iberdrola."
"https://www.ecologistasenaccion.org/","[Informe] Felicidad y sociedad de consumo","Cada año, a finales de noviembre, las calles de las grandes ciudades de todo el mundo se llenan de carteles con un reclamo muy sencillo pero capaz de aglutinar en colas a millones de compradores ávidos de productos a bajo precio."
"https://www.ecologistasenaccion.org/","[Informe] Cambiar las reglas de juego, no el clima","Propuesta de Ecologistas en Acción a una futura ley de cambio climático y transición energética."
"https://www.ecologistasenaccion.org/","[Triptico] No a la ampliación de El Cabril","El cementerio nuclear de El Cabril (Córdoba) está situado en la Sierra de Hornachuelos y está hecho para gestionar y almacenar residuos de media, baja y muy baja actividad procedentes de las centrales nucleares y las instalaciones nucleares y radiactivas españolas."
"https://www.ecologistasenaccion.org/","[Díptico] Vivir sin pesticidas","España es el país europeo con mayor consumo de pesticidas, con un consumo que supera las 40.000 toneladas anuales y la aplicación media de 3 kg/ha, alcanzando en el caso del viñedo los 12 kg/ha entre herbicidas, insecticidas y fungicidas."
"https://www.ecologistasenaccion.org/","[Exposición] Por unos suelos con vida","Exposición de 6 paneles sobre la importancia de los suelos."
"https://www.ecologistasenaccion.org/","[Exposición] Contaminantes hormonales","Exposición de 11 paneles sobre contaminantes hormonales."
"https://www.ecologistasenaccion.org/","[Tríptico] Ozono troposférico","Tríptico sobre el ozono troposférico."
"https://www.ecologistasenaccion.org/","[Tríptico] La ganadería extensiva y el lobo","El ganado en extensivo y el lobo pueden compartir el mismo territorio."
