"Source Url","Headline"
"https://www.hindustantimes.com/environment/","Women head towards a water hole atop a hill in Rajsamand district, Rajasthan."
"https://www.hindustantimes.com/environment/","High risk of poor water quality in south, central India’s river basins by 2050: UNESCO report"
"https://www.hindustantimes.com/environment/","The Centre has released the draft of a new forest policy that seeks to replace a 30-year-old policy. The new policy gives emphasis on commercial use of forest produce, climate change mitigation and prevention of forest fires. "
"https://www.hindustantimes.com/environment/","Govt’s draft forest policy focuses on commercial use, climate change mitigation"
"https://www.hindustantimes.com/environment/","The first zero-emissions ferry, called the MF Ampere, started sailing between the villages of Oppedal and Lavik along the Sognefjord in 2015."
"https://www.hindustantimes.com/environment/","Battery-powered boats, the first step towards slashing maritime pollution"
"https://www.hindustantimes.com/environment/","Foreign tourists at the Lotus Temple on a smoggy morning in New Delhi. A Global Burden of Disease report published last year estimated that 1.1 million deaths in India were linked to PM 2.5 air pollution in 2015."
"https://www.hindustantimes.com/environment/","Centre’s clean air plan goes beyond Delhi, urban India and outdoor pollution"
"https://www.hindustantimes.com/environment/","India must lead the charge in preserving threatened ecology"
"https://www.hindustantimes.com/environment/","Pollution to blame for heavy rain, cloud bursts in Indo-Gangetic plains: Study"
"https://www.hindustantimes.com/environment/","Experts predict dip in rains, but uncertain of effects of global warming on monsoon"
"https://www.hindustantimes.com/environment/","Antarctica: A laboratory for climate change, and hope for a warming planet"
"https://www.hindustantimes.com/environment/","Video of Rhino calf crying next to mother killed by poachers triggers grief, anger"
"https://www.hindustantimes.com/environment/","‘Wacky’ weather: Warmer Arctic, wintery blast in Europe may be linked to global warming, say scientists"
"https://www.hindustantimes.com/environment/","Srinagar air quality worse than Delhi’s on some days, use of coal to blame: Study"
"https://www.hindustantimes.com/environment/","Preventing land degradation must be made a priority"
"https://www.hindustantimes.com/environment/","Land degradation cost India 2.5% of its GDP in 2014-15"
"https://www.hindustantimes.com/environment/","India emerges as hotspot of pangolin trafficking to China, Southeast Asia"
"https://www.hindustantimes.com/environment/","Centre notifies draft rules for use of Rs 50k crore afforestation funds"
"https://www.hindustantimes.com/environment/","148,000 Borneo orangutans have died since 1999, fewer apes survive: Study"
"https://www.hindustantimes.com/environment/","Coastal erosion in cities like Mumbai needs immediate action"
"https://www.hindustantimes.com/environment/","Delhi is not liveable because of catastrophic pollution: Jeffrey Sachs"
"https://www.hindustantimes.com/environment/","21 dolphins die after dozens wash ashore on coast of Baja California Sur in Mexico"
"https://www.hindustantimes.com/environment/","Sea levels to be 2 feet higher by end of this century: Data shows effect of warming oceans"
"https://www.hindustantimes.com/environment/","Number of forest fires jump by 38% in 13 years but national policy still lacking"
"https://www.hindustantimes.com/environment/","Cape Town will be the first modern city to run out of drinking water. Bengaluru isn’t far behind"
"https://www.hindustantimes.com/environment/","Weeds threaten to strangle Narmada in Madhya Pradesh"
"https://www.hindustantimes.com/environment/","Man-eater of Yavatmal: Order given to shoot tiger that killed 10"
"https://www.hindustantimes.com/environment/","India adds second supercomputer to boost weather forecast capabilities"
"https://www.hindustantimes.com/environment/","Why it is critical to involve people in solving water woes"
"https://www.hindustantimes.com/environment/","Towns with cleanest air in India still don’t meet WHO levels: Greenpeace"
"https://www.hindustantimes.com/environment/","On Republic Day, air quality data missing from most Delhi stations"
"https://www.hindustantimes.com/environment/","Working group formed for collaboration between science, environment ministries"
"https://www.hindustantimes.com/environment/","Wildlife Institute of India to work on contraceptives for wild animals"
"https://www.hindustantimes.com/environment/","Parched north India to receive snow and rain this week: Met dept"
"https://www.hindustantimes.com/environment/","2017 was fourth consecutive hottest year for India: IMD"
"https://www.hindustantimes.com/environment/","Air pollution-linked deaths will triple by 2050 if no action is taken: report"
"https://www.hindustantimes.com/environment/","Cape Town is running out of water. Indian cities must take heed"
"https://www.hindustantimes.com/environment/","2017 was among the warmest, behind 2016: UN study"
"https://www.hindustantimes.com/environment/","India can be the Vishwa Guru on climate change, writes Mark Tully"
"https://www.hindustantimes.com/environment/","UN hails India, China for fighting climate change"
"https://www.hindustantimes.com/environment/","In next 25 years river floods to impact six times more Indians"
"https://www.hindustantimes.com/environment/","Mission on pollution-free firecrackers launched"
"https://www.hindustantimes.com/environment/","Parliamentary panel asks environment ministry to prevent underutilisation of pollution control funds"
"https://www.hindustantimes.com/environment/","Low-oxygen zones in oceans expanding, including off India’s coast"
"https://www.hindustantimes.com/environment/","Environment ministry misses SC deadline to notify industrial norms for oxides"
"https://www.hindustantimes.com/environment/","Tiger attack deaths saw a fall between 2013 and 2016"
"https://www.hindustantimes.com/environment/","Apex pollution control body does not want repeat of Sri Lanka matches fiasco during ASEAN summit"
"https://www.hindustantimes.com/environment/","Air quality in Uttar Pradesh falls to hazardous levels"
"https://www.hindustantimes.com/environment/","Environment ministry project will look into birth control for elephants, monkeys"
"https://www.hindustantimes.com/environment/","Goa to ban plastic bags from May 2018, says CM Manohar Parrikar"
"https://www.hindustantimes.com/environment/","Over 50,000 cases of stubble burning in Punjab, Haryana this kharif season"
"https://www.hindustantimes.com/environment/","PM2.5 pollution level in Chandigarh was higher than Delhi in 2016: CPCB"
