"Source Url","Headline"
"http://www.lemonde.fr/","Brexit: un accord a été trouvé sur la période de transition entre Londres et Bruxelles"
"http://www.lemonde.fr/","Que sait-on sur l’empoisonnement de l’ex-agent double russe au Royaume-Uni?;6"
"http://www.lemonde.fr/","Plan pour les banlieues: la colère des maires et des associatifs;26"
"http://www.lemonde.fr/","Bahreïn: sept ans de répression"
"http://www.lemonde.fr/","Paris part à la reconquête de sa biodiversité"
"http://www.lemonde.fr/","L’affaire de Tarnac résumée en 5 épisodes"
"http://www.lemonde.fr/","Elections en Russie: Vladimir Poutine obtient son plébiscite;15"
"http://www.lemonde.fr/","La semaine sociale tendue de Macron;124"
"http://www.lemonde.fr/","Lutte contre le racisme: « Internet, la première priorité du plan national »;19"
"http://www.lemonde.fr/","Rugby: les Espagnols ne digèrent pas l’arbitrage de « voyou »"
"http://www.lemonde.fr/","Découvrez la newsletter Pixels"
"http://www.lemonde.fr/","On a testé… l’option « fauteuil roulant » de Google Maps;11"
"http://www.lemonde.fr/","Un apéro avec Cécile et Bernard Pivot: « Creuse. Dis de quoi la lecture t’a sauvée »;6"
"http://www.lemonde.fr/","Agefiph, 30 ans d’action pour l’insertion professionnelle des personnes handicapées"
"http://www.lemonde.fr/","Comment SOSH a transformé la relation client"
"http://www.lemonde.fr/","Comment massifier la rénovation énergétique des logements?"
"http://www.lemonde.fr/","Du public au privé, les foyers de contestation sociale se multiplient;41"
"http://www.lemonde.fr/","Paris part à la reconquête de sa biodiversité;11"
"http://www.lemonde.fr/","Photographie: August Sander, les Allemands sous tous les angles"
"http://www.lemonde.fr/","L’université de Paris-Saclay conserve le label IDEX, et le projet toulousain recalé;8"
"http://www.lemonde.fr/","Les fourmis, redoutables stratèges militaires;42"
"http://www.lemonde.fr/","A Freetown, une montagne et des plaies toujours à vif après le glissement de terrain de 2017"
"http://www.lemonde.fr/","Les monnaies de collection: un bon investissement?"
"http://www.lemonde.fr/","Unédic, chômage… le gouvernement présente ses arbitrages;28"
"http://www.lemonde.fr/","Kevin Mayer: « Les énergies pétrolières nuisent aux performances sportives »;Vidéo;8"
"http://www.lemonde.fr/","Etats-Unis: une piétonne meurt renversée par un véhicule autonome d’Uber"
"http://www.lemonde.fr/","Poulet basquaise"
