"Source Url","Headline"
"http://www.spiegel.de/","Alles wie immer"
"http://www.spiegel.de/","CDU-Spitzenrunde genervt von Spahn und Seehofer"
"http://www.spiegel.de/","Bündnis beklagt Klima der Angst durch AfD"
"http://www.spiegel.de/","Tödlicher Unfall mit selbstfahrendem Uber-Auto"
"http://www.spiegel.de/","Krieg und Spiele"
"http://www.spiegel.de/","Das Fanal von Afrin"
"http://www.spiegel.de/","Im Auto mit Assad"
"http://www.spiegel.de/","Europas Russland-Dilemma"
"http://www.spiegel.de/","Entlarvt diese Täter als Monster, bevor ihr selber als Opfer erstickt"
"http://www.spiegel.de/","Todeskampf im Berghain"
"http://www.spiegel.de/","Apple forscht am Superbildschirm"
"http://www.spiegel.de/","Kramnik und Grischuk kämpfen um ihre letzte Chance"
"http://www.spiegel.de/","Dreimal täglich Belfodil - Die Top-Elf des 27. Spieltags"
"http://www.spiegel.de/","Lindenbergs Griff nach der Unsterblichkeit"
"http://www.spiegel.de/","Liebe gibt es, ewige Treue nicht"
"http://www.spiegel.de/","3 Porsche + 1 Rolls Royce + Miete vom Amt"
"http://www.spiegel.de/","Zauberhaft"
"http://www.spiegel.de/","Aus dem Staub gemacht"
"http://www.spiegel.de/","Im Inneren der neuen Rekord-Seilbahn"
"http://www.spiegel.de/","Rekonstruktion einer tödlichen Nacht"
"http://www.spiegel.de/","Taucher befreit Weißen Hai - per Hand"
"http://www.spiegel.de/","Skilift außer Kontrolle"
"http://www.spiegel.de/","U-Boot durchbricht Eisdecke"
"http://www.spiegel.de/","Rollkoffer mit Rückenwind"
"http://www.spiegel.de/","Alicia Vikander im Muskelhemd"
"http://www.spiegel.de/","Sechs Lektionen für den Erfolg"
"http://www.spiegel.de/","Tote und Verletzte bei Einsturz einer Fußgängerbrücke"
"http://www.spiegel.de/","Eishockey mit Glasboden-Effekt"
"http://www.spiegel.de/","Doppel-Rot in der 2. französischen Liga"
"http://www.spiegel.de/","Festhalten! Rechtskurve!"
"http://www.spiegel.de/","Der große Täuscher"
"http://www.spiegel.de/","Die fünf Feinde der Globalisierung"
"http://www.spiegel.de/","Der Islam gehört zur AfD"
"http://www.spiegel.de/","Von Paparazzi belagert"
"http://www.spiegel.de/","Ausbeutung der Schwächsten unserer Gesellschaft"
"http://www.spiegel.de/","Neunjähriger soll seine Schwester erschossen haben"
"http://www.spiegel.de/","Weißer Ring stellt Strafanzeige"
"http://www.spiegel.de/","Was sagt Artikel 51 der Uno-Charta?"
"http://www.spiegel.de/","Merkel schickt Putin Gratulation und Mahnung"
"http://www.spiegel.de/","Rechtsrock-Konzert in Themar verboten"
"http://www.spiegel.de/","Der schwarze Rechtspopulist"
"http://www.spiegel.de/","NBA-Trainer Tyronn Lue tritt bei Cavaliers zurück"
"http://www.spiegel.de/","Ohne den Anschlag noch BVB-Trainer"
"http://www.spiegel.de/","Bierhoff läutet die Alarmglocke"
"http://www.spiegel.de/","Warum Caruana Aronjans Attacke abwehren konnte"
"http://www.spiegel.de/","Containerfirmen der P&R-Gruppe sind insolvent"
"http://www.spiegel.de/","Scholz macht die Brandstifter zur Feuerwehr"
"http://www.spiegel.de/","Viele Kitas bleiben geschlossen"
"http://www.spiegel.de/","Scholz holt Goldman-Sachs-Banker als Staatssekretär"
"http://www.spiegel.de/","Geteiltes Deutschland"
"http://www.spiegel.de/","Heroin ist oft stark gestreckt"
"http://www.spiegel.de/","Das Ende des Faustkeils"
"http://www.spiegel.de/","Die Fledermausbrücke von Austin"
"http://www.spiegel.de/","Der doppelte Warhol"
"http://www.spiegel.de/","Man machte Maria Magdalena kurzerhand zur Hure"
"http://www.spiegel.de/","Selbstzerstörung eines Hochbegabten"
"http://www.spiegel.de/","Michael Rutschky ist tot"
"http://www.spiegel.de/","Im Alleingang über die Ozeane"
"http://www.spiegel.de/","Bahnfahrer müssen mit längeren Fahrzeiten rechnen"
"http://www.spiegel.de/","Auf den Hund gekommen"
"http://www.spiegel.de/","Alles schwingt"
"http://www.spiegel.de/","Banause blockiert berühmte Brüste"
"http://www.spiegel.de/","Unbemerkt ausgespäht"
"http://www.spiegel.de/","Diese Brettspiel-Klassiker machen immer noch Spaß"
"http://www.spiegel.de/","Spätere Trump-Berater sollen 50 Millionen Facebook-Profile illegal ausgewertet haben"
"http://www.spiegel.de/","Das war wie im Rausch, dafür brauchte man kein LSD"
