"Source Url","Unnamed_Field_001"
"https://www.sierraclub.org/","Fight Back;Protect America from Trump"
"https://www.sierraclub.org/","EXPLORE, ENJOY, AND PROTECT THE PLANET"
"https://www.sierraclub.org/","Climate Change Is a Women’s Issue, Too"
"https://www.sierraclub.org/","Is There a Coal Plant Near You?"
"https://www.sierraclub.org/","Sierra Club Outings -- New Trips for 2018!"
"https://www.sierraclub.org/","Get Your Sierra Club Calendar Today!"
"https://www.sierraclub.org/","Protect the Arctic National Wildlife Refuge"
"https://www.sierraclub.org/","Join the Earth Day Nationwide Hike"
"https://www.sierraclub.org/","GO LOCAL"
"https://www.sierraclub.org/","See what we are doing in"
"https://www.sierraclub.org/","Canada has its own Sierra Club branch.;Check out Sierra Club Canada"
"https://www.sierraclub.org/","We don't have international chapters. We do have some international work;International Outings;Responsible Trade;Global Population and Environment;International Beyond Coal"
"https://www.sierraclub.org/","Make sure to go to your chapter website above to find local events.;Find events elsewhere;Find chapters across the US"
"https://www.sierraclub.org/","Find activities and events near you"
"https://www.sierraclub.org/","Take action: demand that utilities companies commit to refrain from buying fossil fuels from public lands."
"https://www.sierraclub.org/","See all our actions"
"https://www.sierraclub.org/","We are the nation's largest and most influential grassroots environmental organization."
"https://www.sierraclub.org/","Tabasco Hot Sauce and the Fate of Louisiana’s Shorelines"
"https://www.sierraclub.org/","Climate change might be driving Tabasco production elsewhere"
"https://www.sierraclub.org/","ICYMI: Pipeline Snuggle Bunnies, an Aurora Called Steve, & More"
"https://www.sierraclub.org/","A weekly roundup for busy people"
"https://www.sierraclub.org/","Public Lands for Whom?"
"https://www.sierraclub.org/","Zinke scapegoats 4th graders, grandmas;delivers giveaways to oil companies"
"https://www.sierraclub.org/","Do Diesel Engines Produce Less CO2 Than Regular Engines?"
"https://www.sierraclub.org/","Mr. Green emits the answer"
"https://www.sierraclub.org/","Compass"
"https://www.sierraclub.org/","Trump Administration Seeks to Gut Water Pollution Safeguards, Putting Communities at Risk"
"https://www.sierraclub.org/","One day after new data revealed widespread toxic water contamination near coal ash disposal sites, Environmental Protection Agency head..."
"https://www.sierraclub.org/","Michael Brune"
"https://www.sierraclub.org/","School of Awe"
"https://www.sierraclub.org/","Wikipedia describes a hero as someone who ""combats adversity through feats of ingenuity, bravery or strength."" Well, when it comes to..."
"https://www.sierraclub.org/","Connect with the Sierra Club"
"https://www.sierraclub.org/","☰"
"https://www.sierraclub.org/","Back to top"
"https://www.sierraclub.org/","Move Beyond Fossil Fuels;Preserve Our Wild America;Enjoy the Outdoors;See All Programs;Join/Renew;Become a Member;Renew Your Membership;Become a Wilderness Guardian"
"https://www.sierraclub.org/","Ready for 100% Beyond Coal;Our Wild America Sierra Club Outdoors"
"https://www.sierraclub.org/","Borderlands"
"https://www.sierraclub.org/","Clean Transportation"
"https://www.sierraclub.org/","Climate Parents"
"https://www.sierraclub.org/","Ecocentro"
"https://www.sierraclub.org/","Electric Vehicles"
"https://www.sierraclub.org/","Environmental Justice"
"https://www.sierraclub.org/","Environmental Law"
"https://www.sierraclub.org/","Equity, Inclusion, and Justice"
"https://www.sierraclub.org/","Fair Table"
"https://www.sierraclub.org/","Gender, Equity, and Environment"
"https://www.sierraclub.org/","International Climate and Energy"
"https://www.sierraclub.org/","Labor and Economic Justice"
"https://www.sierraclub.org/","Nuclear Free Future"
"https://www.sierraclub.org/","Politics and Elections"
"https://www.sierraclub.org/","Responsible Trade"
"https://www.sierraclub.org/","Sierra Student Coalition"
"https://www.sierraclub.org/","Toxics"
"https://www.sierraclub.org/","Water Sentinels"
"https://www.sierraclub.org/","Yosemite Conservation Heritage Center"
"https://www.sierraclub.org/","Sierra Club;Campaigns;Ready for 100;Beyond Coal;Beyond Oil;Beyond Natural Gas;Our Wild America;Explore;Extended Tours and Treks;Military Outdoors;Inspiring Connections Outdoors;Lodges and Huts;Enjoy;Sierra Magazine;Colby Library;John Muir Exhibit;Sierra Club Store;Protect;Action Center;Join the Sierra Club;Grassroots Network;Policies;Sierra Student Coalition;AddUp.org;The Sierra Club;About Us;Ways to Give;Careers;En Español;Press Room;Volunteer Opportunities"
"https://www.sierraclub.org/","Donate Today ›"
