"Source Url","Headline"
"https://www.nytimes.com/","Quick Site Sections Navigation"
"https://www.nytimes.com/","Site Search Navigation"
"https://www.nytimes.com/","Site Navigation"
"https://www.nytimes.com/","Site Mobile Navigation"
"https://www.nytimes.com/","Top News"
"https://www.nytimes.com/","Trump Takes Aim at Mueller, Prompting Some G.O.P. Rebukes"
"https://www.nytimes.com/","How Top Republicans Reacted, or Didn’t, to Trump’s Tweets on Mueller"
"https://www.nytimes.com/","Trump Foes Tweet Back: ‘You Will Not Destroy America’"
"https://www.nytimes.com/","Trump Plans to Hire Lawyer Who Sees a ‘Plot’ by the F.B.I."
"https://www.nytimes.com/","Newly Emboldened, the President Says What He Really Feels"
"https://www.nytimes.com/","Another Explosion in Austin, Hours After Plea to Bomber"
"https://www.nytimes.com/","What We Know About the Bombings"
"https://www.nytimes.com/","Black Boys Who Grow Up Rich Often Become Poor"
"https://www.nytimes.com/","Why Are Black Students Punished So Often? Minnesota Confronts a Quandary 1:32 PM ET"
"https://www.nytimes.com/","Europe’s Planned Digital Tax Heightens Tensions With U.S."
"https://www.nytimes.com/","Trump Accidentally Helps Free Trade;in Latin America"
"https://www.nytimes.com/","The 31-Year-Old Dropout Who Just Might Lead Italy"
"https://www.nytimes.com/","Self-Driving Uber Car Kills Pedestrian in Arizona"
"https://www.nytimes.com/","More About Our Hurricane Harvey Series"
"https://www.nytimes.com/","Your Monday Briefing"
"https://www.nytimes.com/","New York Today: The Evolution of the Apartment"
"https://www.nytimes.com/","Listen to ‘The Daily’: Trump and the F.B.I."
"https://www.nytimes.com/","California Today: Can Residents Drive Less?"
"https://www.nytimes.com/","4 Easy Ways to Cut Down Your Sugar Intake"
"https://www.nytimes.com/","How the Shape of Your Ears Affects What You Hear"
"https://www.nytimes.com/"," +"
"https://www.nytimes.com/","There Could Be a Native American Congresswoman in 2018"
"https://www.nytimes.com/","Your Stories on Harassment and Tipping in Restaurants"
"https://www.nytimes.com/","Curveball From New Tax Law: Baseball Trades Are Harder"
"https://www.nytimes.com/","What It’s Like to Write Comedy as a Woman"
"https://www.nytimes.com/","How I Finally Kicked My O.C.D."
"https://www.nytimes.com/","Next Stop, 14th Street. But First, the Sounds of the Beatles."
"https://www.nytimes.com/","Latinos Find Ties Where Indian Slavery Once Thrived"
"https://www.nytimes.com/","' + headline + '"
"https://www.nytimes.com/","Trump to Visit New Hampshire to Present Opioid Plan"
"https://www.nytimes.com/","Supreme Court Won’t Hear Challenges to Arizona Death Penalty"
"https://www.nytimes.com/","U.K. and E.U. Agree on Plan for Brexit Transition"
"https://www.nytimes.com/","Dior Confirms Kim Jones as Men’s Wear Artistic Director"
"https://www.nytimes.com/","Deadline Is Today in Labor Case That Could Affect Millions"
"https://www.nytimes.com/","What on Earth Is Going On?"
"https://www.nytimes.com/","See Latest Edition »"
"https://www.nytimes.com/","The New York Times offers several ways to get in touch with and provide materials to our journalists. Learn more."
"https://www.nytimes.com/","Australia Picks"
"https://www.nytimes.com/","Devastating Australia Bush Fire Destroys Scores of Homes"
"https://www.nytimes.com/","Cambodia’s Ruler Dared Australians to Burn His Effigy, So They Did"
"https://www.nytimes.com/","Daphne the Missing Duck May Be Finding Her Way Home"
"https://www.nytimes.com/","Can Dominica Be a Destination After Maria?"
"https://www.nytimes.com/","32 Teams, 7 Days, 1 Gym"
"https://www.nytimes.com/","Wealth and Power;Equals Misery in ‘Trust’"
"https://www.nytimes.com/","Opinion"
"https://www.nytimes.com/","Why I Didn’t Join My School’s Walkout"
"https://www.nytimes.com/","The Dirty Secret of American Nuclear Arms in Korea"
"https://www.nytimes.com/","Nashville Demolition Blues"
"https://www.nytimes.com/","Maz Jobrani: Iranians Do New Year’s Better"
"https://www.nytimes.com/","How to Talk About Abortion"
"https://www.nytimes.com/","Israel’s Self-Inflicted Wounds 9:45 AM ET"
"https://www.nytimes.com/","The U.S. Needs to Talk to the Taliban in Afghanistan"
"https://www.nytimes.com/","The Student Loan Industry’s Friends"
"https://www.nytimes.com/","Blow: Trump the Un-American President"
"https://www.nytimes.com/","Leonhardt: A Winning Political Issue Hiding in Plain Sight"
"https://www.nytimes.com/","User Subscriptions"
"https://www.nytimes.com/","On the Road in Syria, Where Covering the War Is a Paper Chase"
"https://www.nytimes.com/","In Death as in Life, Women Count. Here’s How The Times Counted Them."
"https://www.nytimes.com/","On the Road in Syria, Where Covering the War Is a Paper Chase"
"https://www.nytimes.com/","Play Today’s Puzzle"
"https://www.nytimes.com/","Play Today’s Puzzle"
"https://www.nytimes.com/","From Our Advertisers"
"https://www.nytimes.com/","times video"
"https://www.nytimes.com/","Inside Nytimes.com"
"https://www.nytimes.com/","Music"
"https://www.nytimes.com/","Brian Eno Wants to Take You ‘Inside the Music’"
"https://www.nytimes.com/","Opinion"
"https://www.nytimes.com/","How to Talk About Abortion"
"https://www.nytimes.com/","Live"
"https://www.nytimes.com/","Black Cancer Matters"
"https://www.nytimes.com/","Retirement"
"https://www.nytimes.com/","No Pension? You Can ‘Pensionize’ Your Savings"
"https://www.nytimes.com/","Sunday Review"
"https://www.nytimes.com/","Stop Apologizing for Being Elite"
"https://www.nytimes.com/","Family"
"https://www.nytimes.com/","Dr. T. Berry Brazelton’s Impact on Pediatrics"
"https://www.nytimes.com/","Style"
"https://www.nytimes.com/","Social Media Influencers Transform Open Houses"
"https://www.nytimes.com/","Opinion"
