"Source Url","Unnamed_Field_001"
"https://www.charitywater.org/","This year, join a community of people giving clean water every month. 100% helps families in need."
"https://www.charitywater.org/","Sustainable projects"
"https://www.charitywater.org/","We invest in forming strong water committees, partnering with local government, and training mechanics to perform repairs."
"https://www.charitywater.org/","Local Partners"
"https://www.charitywater.org/","We partner with local organizations around the world who are providing long-lasting water and sanitation services."
"https://www.charitywater.org/","We prove every project"
"https://www.charitywater.org/","We prove and monitor the projects you fund with GPS coordinates and remote sensors to ensure water is always flowing."
"https://www.charitywater.org/","Private donors cover our operating costs so 100% of your donation will bring clean water to people in need. Learn more."
"https://www.charitywater.org/","We’ve funded 24,537 water projects for 7 million people around the world."
"https://www.charitywater.org/","But we’re not done yet. We need your help. Here’s how you can get involved."
"https://www.charitywater.org/","663 million people drink dirty water. Learn how access to clean water can improve health, boost local economies, empower women, and give kids more time in school."
"https://www.charitywater.org/","Do something crazy to raise money for clean water."
"https://www.charitywater.org/","Give $30 and you can give one person clean water."
"https://www.charitywater.org/","Experience how clean water is changing lives around the world."
"https://www.charitywater.org/","Ask for donations instead of gifts and your birthday will change lives."
"https://www.charitywater.org/","Help us solve the water crisis by joining The Spring, our monthly giving community."
"https://www.charitywater.org/","For $10,000 or more you can fully fund a water project for a community or a school. 100% funds clean water projects."
