"Source Url","Headline","Description"
"https://www.theguardian.com/uk/environment","London activists 'prepared to go to prison' to force action","Group of campaigners arrested after spray painting mayor’s offices as part of a series of direct action protests over of the capital’s illegal air pollution"
"https://www.theguardian.com/uk/environment","Climate change soon to cause mass movement, World Bank warns","140m people in three regions expected to migrate before 2050 unless environment is improved"
"https://www.theguardian.com/uk/environment","Water shortages could affect 5bn people by 2050, UN report warns","Conflict and civilisational threats likely unless action is taken to reduce the stress on rivers, lakes, aquifers, wetlands and reservoirs"
"https://www.theguardian.com/uk/environment","Ban new petrol and diesel cars in 2030, not 2040, says thinktank","Green Alliance says ending UK sales earlier would close climate target gap and halve oil imports"
"https://www.theguardian.com/uk/environment","Is the way we think about overpopulation racist?","Half the world lives in urban areas, yet environmental concerns about megacities often focus on developing economies. But consumption is as important as population"
"https://www.theguardian.com/uk/environment","John Kelly shut down Pruitt’s climate denial ‘red team,’ but they have a Plan B","Dana Nuccitelli: Let fossil fuel-funded think tanks make their case, then ignore it"
"https://www.theguardian.com/uk/environment","Billion-dollar polar engineering ‘needed to slow melting glaciers’","Underwater sea walls and artificial islands among projects urgently required to avoid devastation of global flooding, say scientists"
"https://www.theguardian.com/uk/environment","UN moves towards recognising right to a healthy environment","Formal recognition would help protect those who increasingly risk their lives to defend the land, water, forests and wildlife, says the UN special rapporteur on human rights and the environment"
"https://www.theguardian.com/uk/environment","We must honour lost land defenders by fighting the system which killed them","Sebastian Ordoñez Muñoz: Two more defenders in Latin America have lost their lives challenging their country’s economic growth model which prizes profit at all cost"
"https://www.theguardian.com/uk/environment","Recording the deaths of environmental defenders around the world","This year, in collaboration with Global Witness, the Guardian aims to record the deaths of all people killed while protecting land or natural resources. At the current rate, about four defenders will die this week somewhere on the planet"
"https://www.theguardian.com/uk/environment","UN urges respect for environment activists after wildlife campaigner death","Officials say Kavous Seyed Emami used endangered Asiatic cheetah surveys as pretext for spying, but no evidence has been cited"
"https://www.theguardian.com/uk/environment","Animals farmed: non-stun killing, trade wars and the Red Tractor row",""
"https://www.theguardian.com/uk/environment","History in the making': California aims for world's highest farm animal welfare law",""
"https://www.theguardian.com/uk/environment","Iowa stores may be forced to sell eggs from battery hens",""
"https://www.theguardian.com/uk/environment","Fear of meat scandal as data shows hygiene breaches at over half UK plants",""
"https://www.theguardian.com/uk/environment","The quest for bike-friendly children's books in a world where cars rule","From cute cars to smiley emergency vehicles, kids’ culture is awash with rosy images of driving, so a new Mr Men book about cycling is a welcome read. What are your favourite cycling-friendly children’s books?"
"https://www.theguardian.com/uk/environment","Biofuels can help solve climate change, especially with a carbon tax","John Abraham: We’re not yet optimizing biofuel production for both economic and environmental factors"
"https://www.theguardian.com/uk/environment","Green Investment Bank: why did ministers dodge the real problem?","Government should have got binding commitments a private owner would continue to invest"
"https://www.theguardian.com/uk/environment","Burning coal may have caused Earth’s worst mass extinction","Dana Nuccitelli: New geological research from Utah suggests the end-Permian extinction was mainly caused by burning coal, ignited by magma"
"https://www.theguardian.com/uk/environment","Bike safety consultation shows someone in government might understand cycling","Amid plans for an unnecessary law change targeting cyclists, a parallel government consultation on safety makes some unexpectedly sensible points."
"https://www.theguardian.com/uk/environment","Stop blaming ‘both sides’ for America’s climate failures","Dana Nuccitelli: The fault lies entirely with the GOP. Focus on fixing it, not laying blame where it doesn’t belong"
"https://www.theguardian.com/uk/environment","Why what we eat is crucial to the climate change question","Ruth Khasaya Oniang’o: Our food – from what we eat to how it is grown – accounts for more carbon emissions than transport and yet staple crops will be hit hard by global warming"
"https://www.theguardian.com/uk/environment","First polar bear cub born in Britain for 25 years – video","Footage from a documentary about the first polar bear cub to be born in the UK in the past 25 years has been released. The cub was born at the Highland Wildlife Park"
"https://www.theguardian.com/uk/environment","The week in wildlife – in pictures","Gentoo penguins, an albatross chick and spring crocuses are among this week’s pick of images from the natural world"
"https://www.theguardian.com/uk/environment","Earth is my witness: the photography of Art Wolfe – in pictures","The photography of Art Wolfe covers the globe, capturing landscapes, wildlife, and cultures from every continent. Here he talks us through a selection of his favourite images"
"https://www.theguardian.com/uk/environment","The week in wildlife - in pictures",""
"https://www.theguardian.com/uk/environment","Bird Photographer of the Year 2018 – in pictures",""
"https://www.theguardian.com/uk/environment","'So much plastic!': British diver films deluge of waste off Bali – video",""
"https://www.theguardian.com/uk/environment","The week in wildlife – in pictures",""
"https://www.theguardian.com/uk/environment","Siberian blast blankets Europe in snow – in pictures",""
"https://www.theguardian.com/uk/environment","The week in wildlife – in pictures",""
"https://www.theguardian.com/uk/environment","Seascapes without a camera: Meghann Riepenhoff's cyanotypes",""
"https://www.theguardian.com/uk/environment","Wild quolls take bait of cane-toad sausages, offering hope for species","Wildlife managers hope taste aversion technique can help safeguard the endangered northern quoll"
"https://www.theguardian.com/uk/environment","Energy market commission says electricity grid increasingly unstable","Instability attributed to changes in power mix that can leave grid at mercy of the weather"
"https://www.theguardian.com/uk/environment","Jay Weatherill quits as leader after losing South Australian election","Outgoing premier says he will stay on the backbench and is not interested in going to Canberra"
"https://www.theguardian.com/uk/environment","London air pollution activists 'prepared to go to prison' to force action","Group of campaigners arrested after spray painting mayor’s offices as part of a series of direct action protests over of the capital’s illegal air pollution"
"https://www.theguardian.com/uk/environment","UK drops bid for instant return of fisheries control – sources","Latest Brexit concession is blow to ambitions of environment secretary Michael Gove"
"https://www.theguardian.com/uk/environment","Fishing for krill is an eco-disaster: we must protect the Antarctic","These crustaceans are tiny but play a crucial role in limiting climate change. An ocean sanctuary would safeguard them, writes nature expert Chris Packham"
"https://www.theguardian.com/uk/environment","Climate change soon to cause mass movement, World Bank warns",""
"https://www.theguardian.com/uk/environment","Water shortages could affect 5bn people by 2050, UN report warns",""
"https://www.theguardian.com/uk/environment","John Kelly shut down Pruitt’s climate denial ‘red team,’ but they have a Plan B",""
"https://www.theguardian.com/uk/environment","WHO launches health review after microplastics found in 90% of bottled water",""
"https://www.theguardian.com/uk/environment","Ban new petrol and diesel cars in 2030, not 2040, says thinktank",""
"https://www.theguardian.com/uk/environment","Big farming across Australia – in pictures",""
"https://www.theguardian.com/uk/environment","London air pollution activists 'prepared to go to prison' to force action",""
"https://www.theguardian.com/uk/environment","Who owns water? The US landowners putting barbed wire across rivers",""
"https://www.theguardian.com/uk/environment","Wild quolls take bait of cane-toad sausages, offering hope for species",""
"https://www.theguardian.com/uk/environment","Dirty kitchen roll among things Britons wrongly think they can recycle",""
