"Source Url","Headline"
"https://thinkprogress.org/climate","Few U.S. companies have board-level oversight of climate issues"
"https://thinkprogress.org/climate","California’s historic wildfire season puts financial squeeze on the state’s utilities"
"https://thinkprogress.org/climate","Facebook admits data firm working for Trump scammed millions of U.S. voters"
"https://thinkprogress.org/climate","EPA chief Scott Pruitt held ‘courtesy call’ meeting with big Trump donor"
"https://thinkprogress.org/climate","Community fights massive drilling site planned near public school in low-income area"
"https://thinkprogress.org/climate","Texas chemical plant explosion results in multiple injuries"
"https://thinkprogress.org/climate","Oil giant begins transition to renewables, scrubs ‘oil’ from its name"
"https://thinkprogress.org/climate","Senator exposes the hypocrisy of ‘so-called climate caucus’ members"
"https://thinkprogress.org/climate","‘This is a matter of life and death’: A Virginia community choking on coal dust pleads for help"
"https://thinkprogress.org/climate","Trump’s new economics director is a climate denier who thinks animals can ‘snuggle’ under pipelines"
"https://thinkprogress.org/climate","Senator calls Trump’s coal bailout plan ‘most ridiculous’ policy she’s ever seen"
"https://thinkprogress.org/climate","Stephen Hawking’s dire warning about what Trump’s policies will do to the Earth"
"https://thinkprogress.org/climate","Here’s what Ryan Zinke’s public lands infrastructure investment actually means"
"https://thinkprogress.org/climate","Director of offshore safety and environment bureau meets almost exclusively with industry"
"https://thinkprogress.org/climate","Trump’s Secretary of State pick is ‘the number 1 all time recipient of KOCH Industries $$$’"
"https://thinkprogress.org/climate","Ryan Zinke’s trip to Pennsylvania may have violated the Hatch Act"
"https://thinkprogress.org/climate","Baltimore votes to ban crude oil export terminals"
"https://thinkprogress.org/climate","Trump administration broke the law by failing to implement smog rule, federal court rules"
"https://thinkprogress.org/climate","Supreme Court asked to open public lands near the Grand Canyon to uranium mining"
"https://thinkprogress.org/climate","EPA asks court to throw out case against Pruitt’s science advisory rule"
"https://thinkprogress.org/climate","The number of people who hate Trump’s offshore drilling plans keeps growing"
"https://thinkprogress.org/climate","Oil and gas industry panel on extreme hurricanes never once mentions climate change"
"https://thinkprogress.org/climate","Sen. Murkowski makes it clear she’s willing to sell out Alaska’s public lands"
"https://thinkprogress.org/climate","EPA happy to waive ethics rules for industry lobbyists joining the agency"
"https://thinkprogress.org/climate","West Coast progressive climate strategy could come East for first time"
